time_captured,JPM_Open
2009-05-19,37.3
2009-05-20,36.61
2009-05-21,34.19
2009-05-22,35.26
2009-05-26,34.12
2009-05-27,36.5
2009-05-28,35.14
2009-05-29,36.35
2009-06-01,37.4
2009-06-02,35.07
2009-06-03,34.4
2009-06-04,34.4
2009-06-05,35.72
2009-06-08,34.55
2009-06-09,35.72
2009-06-10,35.57
2009-06-11,35.07
2009-06-12,34.86
2009-06-15,34.88
2009-06-16,34.27
2009-06-17,33.43
2009-06-18,32.85
2009-06-19,34.65
2009-06-22,34.69
2009-06-23,33.11
2009-06-24,33.78
2009-06-25,33.48
2009-06-26,33.88
2009-06-29,34.55
2009-06-30,34.6
2009-07-01,34.27
2009-07-02,33.36
2009-07-06,32.03
2009-07-07,32.63
2009-07-08,32.93
2009-07-09,32.89
2009-07-10,33.31
2009-07-13,32.87
2009-07-14,34.53
2009-07-15,35.11
2009-07-16,35.5
2009-07-17,36.42
2009-07-20,37.02
2009-07-21,37.2
2009-07-22,36.4
2009-07-23,36.95
2009-07-24,38.05
2009-07-27,37.97
2009-07-28,37.74
2009-07-29,37.79
2009-07-30,38.13
2009-07-31,38.38
2009-08-03,39.12
2009-08-04,39.27
2009-08-05,40.34
2009-08-06,42.28
2009-08-07,41.28
2009-08-10,42.03
2009-08-11,42.28
2009-08-12,41.19
2009-08-13,42.73
2009-08-14,42.63
2009-08-17,41.21
2009-08-18,41.1
2009-08-19,41.15
2009-08-20,41.53
2009-08-21,42.86
2009-08-24,43.86
2009-08-25,43.39
2009-08-26,43.39
2009-08-27,43.05
2009-08-28,43.81
2009-08-31,42.44
2009-09-01,43.08
2009-09-02,41.51
2009-09-03,41.23
2009-09-04,42.33
2009-09-08,42.79
2009-09-09,42.6
2009-09-10,42.73
2009-09-11,43.13
2009-09-14,42.08
2009-09-15,43.61
2009-09-16,43.35
2009-09-17,44.29
2009-09-18,45.24
2009-09-21,44.54
2009-09-22,44.81
2009-09-23,46.4
2009-09-24,45.21
2009-09-25,44.15
2009-09-28,43.97
2009-09-29,44.89
2009-09-30,44.8
2009-10-01,43.4
2009-10-02,40.82
2009-10-05,42.48
2009-10-06,44.36
2009-10-07,44.6
2009-10-08,46.04
2009-10-09,45.46
2009-10-12,46.37
2009-10-13,45.65
2009-10-14,47.19
2009-10-15,46.36
2009-10-16,46.7
2009-10-19,46.42
2009-10-20,45.81
2009-10-21,46.02
2009-10-22,44.92
2009-10-23,45.7
2009-10-26,45.12
2009-10-27,43.99
2009-10-28,43.73
2009-10-29,43.22
2009-10-30,43.95
2009-11-02,42.18
2009-11-03,42.09
2009-11-04,43.21
2009-11-05,42.6
2009-11-06,43.14
2009-11-09,43.93
2009-11-10,44.14
2009-11-11,44.34
2009-11-12,44.08
2009-11-13,43.16
2009-11-16,43.25
2009-11-17,42.92
2009-11-18,43.14
2009-11-19,43.1
2009-11-20,42.47
2009-11-23,42.95
2009-11-24,43.26
2009-11-25,42.67
2009-11-27,40.98
2009-11-30,41.56
2009-12-01,42.61
2009-12-02,42.15
2009-12-03,42.3
2009-12-04,42.25
2009-12-07,41.63
2009-12-08,41.01
2009-12-09,41.25
2009-12-10,41.36
2009-12-11,40.99
2009-12-14,41.01
2009-12-15,41.5
2009-12-16,41.17
2009-12-17,41.06
2009-12-18,40.53
2009-12-21,41.55
2009-12-22,42.0
2009-12-23,41.84
2009-12-24,41.68
2009-12-28,41.85
2009-12-29,41.73
2009-12-30,41.27
2009-12-31,41.62
2010-01-04,41.79
2010-01-05,42.79
2010-01-06,43.45
2010-01-07,43.79
2010-01-08,44.37
2010-01-11,45.12
2010-01-12,43.99
2010-01-13,43.55
2010-01-14,44.2
2010-01-15,44.3
2010-01-19,43.4
2010-01-20,43.01
2010-01-21,43.04
2010-01-22,40.65
2010-01-25,39.76
2010-01-26,39.0
2010-01-27,38.35
2010-01-28,39.68
2010-01-29,39.65
2010-02-01,39.1
2010-02-02,39.8
2010-02-03,40.58
2010-02-04,39.79
2010-02-05,38.64
2010-02-08,38.29
2010-02-09,38.19
2010-02-10,38.64
2010-02-11,38.84
2010-02-12,38.67
2010-02-16,39.33
2010-02-17,40.26
2010-02-18,39.94
2010-02-19,40.11
2010-02-22,40.4
2010-02-23,40.9
2010-02-24,40.05
2010-02-25,40.16
2010-02-26,40.69
2010-03-01,42.03
2010-03-02,41.98
2010-03-03,41.65
2010-03-04,41.91
2010-03-05,42.32
2010-03-08,42.85
2010-03-09,42.39
