time_captured,CVX_Open
2009-12-10,77.66
2009-12-11,77.67
2009-12-14,78.45
2009-12-15,77.02
2009-12-16,77.9
2009-12-17,77.49
2009-12-18,77.42
2009-12-21,77.6
2009-12-22,77.83
2009-12-23,77.87
2009-12-24,77.02
2009-12-28,77.78
2009-12-29,77.81
2009-12-30,77.1
2009-12-31,77.72
2010-01-04,78.2
2010-01-05,79.22
2010-01-06,79.44
2010-01-07,79.36
2010-01-08,79.12
2010-01-11,80.17
2010-01-12,79.52
2010-01-13,80.27
2010-01-14,79.63
2010-01-15,79.54
2010-01-19,78.96
2010-01-20,78.71
2010-01-21,78.15
2010-01-22,75.98
2010-01-25,75.15
2010-01-26,74.08
2010-01-27,73.94
2010-01-28,73.97
2010-01-29,73.53
2010-02-01,72.7
2010-02-02,73.74
2010-02-03,74.18
2010-02-04,72.56
2010-02-05,71.0
2010-02-08,71.24
2010-02-09,70.89
2010-02-10,71.02
2010-02-11,70.72
2010-02-12,70.54
2010-02-16,71.99
2010-02-17,73.22
2010-02-18,72.69
2010-02-19,73.44
2010-02-22,74.17
2010-02-23,72.6
2010-02-24,72.12
2010-02-25,71.19
2010-02-26,72.19
2010-03-01,72.63
2010-03-02,73.18
2010-03-03,73.63
2010-03-04,73.07
2010-03-05,73.55
2010-03-08,74.49
2010-03-09,74.3
2010-03-10,74.14
2010-03-11,74.07
2010-03-12,74.17
2010-03-15,73.51
2010-03-16,73.9
2010-03-17,74.18
2010-03-18,74.85
2010-03-19,75.03
2010-03-22,74.17
2010-03-23,74.43
2010-03-24,74.27
2010-03-25,74.4
2010-03-26,74.0
2010-03-29,74.61
2010-03-30,75.27
2010-03-31,75.47
2010-04-01,76.4
2010-04-05,76.97
2010-04-06,77.57
2010-04-07,77.67
2010-04-08,76.93
2010-04-09,78.04
2010-04-12,79.5
2010-04-13,80.42
2010-04-14,80.46
2010-04-15,80.61
2010-04-16,81.46
2010-04-19,80.25
2010-04-20,81.82
2010-04-21,82.3
2010-04-22,81.11
2010-04-23,81.04
2010-04-26,82.52
2010-04-27,82.08
2010-04-28,80.62
2010-04-29,81.19
2010-04-30,82.37
2010-05-03,81.96
2010-05-04,82.01
2010-05-05,79.69
2010-05-06,79.41
2010-05-07,77.22
2010-05-10,79.37
2010-05-11,79.64
2010-05-12,79.77
2010-05-13,79.8
2010-05-14,78.42
2010-05-17,77.39
2010-05-18,78.31
2010-05-19,76.35
2010-05-20,75.04
2010-05-21,72.35
2010-05-24,74.22
2010-05-25,71.74
2010-05-26,73.19
2010-05-27,73.13
2010-05-28,74.0
2010-06-01,73.56
2010-06-02,72.66
2010-06-03,74.66
2010-06-04,72.15
2010-06-07,71.66
2010-06-08,71.68
2010-06-09,71.17
2010-06-10,72.87
2010-06-11,73.48
2010-06-14,74.23
2010-06-15,74.57
2010-06-16,74.61
2010-06-17,75.02
2010-06-18,75.47
2010-06-21,76.81
2010-06-22,75.45
2010-06-23,73.84
2010-06-24,71.8
2010-06-25,71.13
2010-06-28,70.56
2010-06-29,69.2
2010-06-30,68.22
2010-07-01,68.19
2010-07-02,67.79
2010-07-06,68.28
2010-07-07,67.82
2010-07-08,70.18
2010-07-09,70.46
2010-07-12,71.53
2010-07-13,72.99
2010-07-14,73.01
2010-07-15,73.23
2010-07-16,72.65
2010-07-19,71.84
2010-07-20,71.0
2010-07-21,73.33
2010-07-22,72.8
2010-07-23,73.28
2010-07-26,73.82
