time_captured,MSFT_Open
2014-01-02,37.35
2014-01-03,37.2
2014-01-06,36.85
2014-01-07,36.32
2014-01-08,36.0
2014-01-09,35.88
2014-01-10,35.9
2014-01-13,35.99
2014-01-14,34.73
2014-01-15,35.9
2014-01-16,36.69
2014-01-17,36.83
2014-01-21,36.82
2014-01-22,36.26
2014-01-23,36.09
2014-01-24,37.45
2014-01-27,36.87
2014-01-28,36.12
2014-01-29,35.98
2014-01-30,36.79
2014-01-31,36.95
2014-02-03,37.74
2014-02-04,36.97
2014-02-05,36.29
2014-02-06,35.8
2014-02-07,36.32
2014-02-10,36.63
2014-02-11,36.88
2014-02-12,37.35
2014-02-13,37.33
2014-02-14,37.39
2014-02-18,37.63
2014-02-19,37.22
2014-02-20,37.57
2014-02-21,37.94
2014-02-24,37.69
2014-02-25,37.61
2014-02-26,37.58
2014-02-27,37.45
2014-02-28,37.98
2014-03-03,37.92
2014-03-04,38.2
2014-03-05,38.25
2014-03-06,38.14
2014-03-07,38.28
2014-03-10,37.99
2014-03-11,37.87
2014-03-12,37.8
2014-03-13,38.42
2014-03-14,37.65
2014-03-17,37.9
2014-03-18,38.26
2014-03-19,39.47
2014-03-20,39.25
2014-03-21,40.72
2014-03-24,40.34
2014-03-25,40.66
2014-03-26,40.48
2014-03-27,39.74
2014-03-28,39.79
2014-03-31,40.43
2014-04-01,41.15
2014-04-02,41.44
2014-04-03,41.29
2014-04-04,41.25
2014-04-07,39.96
2014-04-08,39.75
2014-04-09,39.93
2014-04-10,40.44
2014-04-11,39.0
2014-04-14,39.11
2014-04-15,39.34
2014-04-16,40.06
2014-04-17,40.01
2014-04-21,40.13
2014-04-22,39.96
2014-04-23,39.99
2014-04-24,39.74
2014-04-25,40.29
2014-04-28,40.14
2014-04-29,41.1
2014-04-30,40.4
2014-05-01,40.24
2014-05-02,40.31
2014-05-05,39.52
2014-05-06,39.29
2014-05-07,39.22
2014-05-08,39.34
2014-05-09,39.54
2014-05-12,39.74
2014-05-13,39.92
2014-05-14,40.3
2014-05-15,40.09
2014-05-16,39.67
2014-05-19,39.61
2014-05-20,39.68
2014-05-21,39.8
2014-05-22,40.29
2014-05-23,40.37
