time_captured,GS_Open
2010-08-26,144.94
2010-08-27,141.13
2010-08-30,138.83
2010-08-31,136.25
2010-09-01,139.01
2010-09-02,139.93
2010-09-03,141.62
2010-09-07,146.15
2010-09-08,145.38
2010-09-09,149.79
2010-09-10,149.46
2010-09-13,152.32
2010-09-14,153.54
2010-09-15,151.67
2010-09-16,152.28
2010-09-17,152.11
2010-09-20,150.98
2010-09-21,152.11
2010-09-22,149.95
2010-09-23,146.36
2010-09-24,146.25
2010-09-27,147.01
2010-09-28,146.51
2010-09-29,145.02
2010-09-30,145.25
2010-10-01,145.2
2010-10-04,147.7
2010-10-05,147.56
2010-10-06,149.75
2010-10-07,152.11
2010-10-08,151.15
2010-10-11,152.67
2010-10-12,151.3
2010-10-13,156.3
2010-10-14,154.23
2010-10-15,152.69
2010-10-18,150.93
2010-10-19,155.14
2010-10-20,156.21
2010-10-21,159.58
2010-10-22,159.89
2010-10-25,159.36
2010-10-26,156.72
2010-10-27,157.19
2010-10-28,160.86
2010-10-29,162.15
2010-11-01,161.77
2010-11-02,162.06
2010-11-03,163.18
2010-11-04,163.62
2010-11-05,165.99
2010-11-08,169.95
2010-11-09,170.3
2010-11-10,166.31
2010-11-11,165.79
2010-11-12,166.39
2010-11-15,165.68
2010-11-16,165.8
2010-11-17,165.12
2010-11-18,165.69
2010-11-19,167.5
2010-11-22,164.3
2010-11-23,159.1
2010-11-24,158.96
2010-11-26,158.46
2010-11-29,157.49
2010-11-30,158.07
2010-12-01,158.45
2010-12-02,159.16
2010-12-03,161.31
2010-12-06,161.66
2010-12-07,164.52
2010-12-08,161.96
2010-12-09,167.0
2010-12-10,166.41
2010-12-13,168.25
2010-12-14,169.67
2010-12-15,166.64
2010-12-16,165.69
2010-12-17,163.92
2010-12-20,163.74
2010-12-21,166.54
2010-12-22,168.67
2010-12-23,169.1
2010-12-27,166.79
2010-12-28,170.0
2010-12-29,169.4
2010-12-30,168.09
2010-12-31,167.58
2011-01-03,170.55
2011-01-04,173.87
2011-01-05,172.05
2011-01-06,174.51
2011-01-07,172.7
2011-01-10,170.0
2011-01-11,170.5
