time_captured,MMM_Volume
2010-01-28,6821900
2010-01-29,4347174
2010-02-01,3635603
2010-02-02,4690275
2010-02-03,3401520
2010-02-04,5312556
2010-02-05,5407974
2010-02-08,4407593
2010-02-09,4252508
2010-02-10,2445186
2010-02-11,5525398
2010-02-12,5443846
2010-02-16,3620598
2010-02-17,3095120
2010-02-18,2702371
2010-02-19,3218567
2010-02-22,3025376
2010-02-23,3983251
2010-02-24,3530652
2010-02-25,4106273
2010-02-26,3224373
2010-03-01,2545132
2010-03-02,3365547
2010-03-03,2852222
2010-03-04,2620209
2010-03-05,3144056
2010-03-08,3627851
2010-03-09,4249733
2010-03-10,3584553
2010-03-11,4051272
2010-03-12,2945813
2010-03-15,2622341
2010-03-16,4242139
2010-03-17,3989680
2010-03-18,4940477
2010-03-19,6876132
2010-03-22,3256630
2010-03-23,4153039
2010-03-24,3102478
2010-03-25,4942499
2010-03-26,3815323
2010-03-29,3102792
2010-03-30,8704528
2010-03-31,4336635
2010-04-01,2965767
2010-04-05,2600732
2010-04-06,3208475
2010-04-07,4463429
2010-04-08,3757682
2010-04-09,2884869
2010-04-12,2626066
2010-04-13,4255906
2010-04-14,3632099
2010-04-15,4535497
2010-04-16,5343086
2010-04-19,3554163
2010-04-20,5734906
2010-04-21,4522891
2010-04-22,4627654
2010-04-23,3990628
2010-04-26,6290185
2010-04-27,11142138
2010-04-28,5730552
2010-04-29,5284202
2010-04-30,5262081
2010-05-03,4647674
2010-05-04,5456527
2010-05-05,4879914
2010-05-06,9156992
2010-05-07,8368900
2010-05-10,6271591
2010-05-11,4762197
2010-05-12,3430953
2010-05-13,3314763
2010-05-14,4138399
2010-05-17,3191737
2010-05-18,5220285
2010-05-19,6405223
2010-05-20,8753224
2010-05-21,6489607
2010-05-24,3633377
2010-05-25,5705171
2010-05-26,4720928
2010-05-27,4554877
2010-05-28,6482710
2010-06-01,4340122
2010-06-02,5773551
2010-06-03,7880860
2010-06-04,8152774
2010-06-07,5947801
2010-06-08,7229428
2010-06-09,4805436
2010-06-10,6204474
2010-06-11,4636176
2010-06-14,3612002
2010-06-15,3233220
2010-06-16,5359715
2010-06-17,3976314
2010-06-18,5260718
2010-06-21,4064357
2010-06-22,3117437
2010-06-23,3567240
2010-06-24,4340004
2010-06-25,4339806
2010-06-28,3100487
2010-06-29,8546153
2010-06-30,6944011
2010-07-01,6811700
2010-07-02,3776808
2010-07-06,4012653
2010-07-07,4957837
2010-07-08,3975845
2010-07-09,2817343
2010-07-12,3206684
2010-07-13,5137399
2010-07-14,3114488
2010-07-15,4641963
2010-07-16,4302449
2010-07-19,3054127
2010-07-20,3050754
2010-07-21,4992604
2010-07-22,7153793
2010-07-23,4561097
2010-07-26,4839876
2010-07-27,4243864
2010-07-28,2825607
2010-07-29,3344587
2010-07-30,4748387
2010-08-02,3638990
2010-08-03,2856548
2010-08-04,2225144
2010-08-05,2526715
2010-08-06,2701265
2010-08-09,3190898
2010-08-10,3642924
2010-08-11,4505643
2010-08-12,3435745
2010-08-13,2081530
