time_captured,CAT_Volume
2009-09-16,12789034
2009-09-17,15287028
2009-09-18,12398936
2009-09-21,10109646
2009-09-22,11181110
2009-09-23,9617535
2009-09-24,11803353
2009-09-25,10788009
2009-09-28,6042048
2009-09-29,7541906
2009-09-30,10651982
2009-10-01,12845531
2009-10-02,10681413
2009-10-05,8670666
2009-10-06,9779291
2009-10-07,7439230
2009-10-08,11199460
2009-10-09,8050395
2009-10-12,6687965
2009-10-13,6516328
2009-10-14,9193396
2009-10-15,7367763
2009-10-16,8839642
2009-10-19,18786329
2009-10-20,33902578
2009-10-21,17064292
2009-10-22,11385203
2009-10-23,8775971
2009-10-26,9795695
2009-10-27,10949636
2009-10-28,12089675
2009-10-29,9869030
2009-10-30,12049462
2009-11-02,9970847
2009-11-03,7770466
2009-11-04,8644656
2009-11-05,6847305
2009-11-06,6161561
2009-11-09,12253206
2009-11-10,8874103
2009-11-11,7497636
2009-11-12,7589168
2009-11-13,6444765
2009-11-16,8334502
2009-11-17,7095915
2009-11-18,6626712
2009-11-19,8237061
2009-11-20,8698427
2009-11-23,9484339
2009-11-24,6629607
2009-11-25,6245320
2009-11-27,5189544
2009-11-30,9718475
2009-12-01,9824285
2009-12-02,7879989
2009-12-03,7595686
2009-12-04,10448605
2009-12-07,6835530
2009-12-08,6482873
2009-12-09,8553021
2009-12-10,6304605
2009-12-11,5370042
2009-12-14,4585317
2009-12-15,4950055
2009-12-16,6738703
2009-12-17,5700584
2009-12-18,7236672
2009-12-21,5339691
2009-12-22,4279904
2009-12-23,4056275
2009-12-24,1507777
2009-12-28,3789819
2009-12-29,2879326
2009-12-30,3479880
2009-12-31,3860330
2010-01-04,7326679
2010-01-05,5697197
2010-01-06,4718749
2010-01-07,5432913
2010-01-08,6651511
2010-01-11,21958752
2010-01-12,13562604
2010-01-13,8399054
2010-01-14,6224295
2010-01-15,9397569
2010-01-19,8056496
2010-01-20,6954007
2010-01-21,13877409
2010-01-22,14762988
2010-01-25,9777305
2010-01-26,15219307
2010-01-27,34043254
2010-01-28,15625607
2010-01-29,13962798
2010-02-01,7159019
