time_captured,UTX_Volume
2010-08-23,3954942
2010-08-24,5287455
2010-08-25,6609165
2010-08-26,5595152
2010-08-27,5074526
2010-08-30,3371036
2010-08-31,5199372
2010-09-01,5230906
2010-09-02,3837365
2010-09-03,4315904
2010-09-07,3761085
2010-09-08,3077321
2010-09-09,2690756
2010-09-10,3026373
2010-09-13,4476920
2010-09-14,3467647
2010-09-15,3692647
2010-09-16,2805921
2010-09-17,5201211
2010-09-20,2978666
2010-09-21,4472402
2010-09-22,3057385
2010-09-23,3412947
2010-09-24,2991096
2010-09-27,3726622
2010-09-28,3501393
2010-09-29,2934795
2010-09-30,5015223
2010-10-01,4998673
2010-10-04,4437123
2010-10-05,5541106
2010-10-06,3951974
2010-10-07,3016777
2010-10-08,3509179
2010-10-11,2457049
2010-10-12,3940460
2010-10-13,4990824
2010-10-14,4854625
2010-10-15,4672760
2010-10-18,3833462
2010-10-19,5807792
2010-10-20,8761728
2010-10-21,8868475
2010-10-22,3165089
2010-10-25,4068860
2010-10-26,3527362
2010-10-27,3321696
2010-10-28,3143980
2010-10-29,2650141
2010-11-01,3404618
2010-11-02,2806232
2010-11-03,3590520
2010-11-04,5502503
2010-11-05,4705619
2010-11-08,3149708
2010-11-09,3810636
2010-11-10,4023929
2010-11-11,3506304
2010-11-12,4774344
2010-11-15,4718564
2010-11-16,6000692
2010-11-17,3897638
2010-11-18,3652548
2010-11-19,4021960
2010-11-22,3443297
2010-11-23,4117306
2010-11-24,3939838
2010-11-26,1963880
2010-11-29,4358748
2010-11-30,5548223
2010-12-01,7949323
2010-12-02,4845508
2010-12-03,3229203
2010-12-06,2699312
2010-12-07,4478449
2010-12-08,5384956
2010-12-09,3864123
2010-12-10,3822881
2010-12-13,3756457
2010-12-14,3550095
2010-12-15,3970986
2010-12-16,3049541
2010-12-17,5391211
2010-12-20,2802470
2010-12-21,2836574
2010-12-22,2123578
2010-12-23,1862679
2010-12-27,1388783
2010-12-28,2066986
2010-12-29,1559370
2010-12-30,1504311
2010-12-31,1782248
2011-01-03,3059709
2011-01-04,3658989
2011-01-05,2820689
2011-01-06,3486345
2011-01-07,2772109
2011-01-10,3301579
