time_captured,NKE_Volume
2010-11-18,8432268
2010-11-19,19276988
2010-11-22,7275980
2010-11-23,6632316
2010-11-24,8905644
2010-11-26,4050520
2010-11-29,9700564
2010-11-30,13166128
2010-12-01,7963632
2010-12-02,6449424
2010-12-03,8116632
2010-12-06,4806580
2010-12-07,7687160
2010-12-08,5463128
2010-12-09,6420504
2010-12-10,5095292
2010-12-13,12956720
2010-12-14,7559132
2010-12-15,7001172
2010-12-16,7224480
2010-12-17,11552772
2010-12-20,8693188
2010-12-21,25000024
2010-12-22,33224016
2010-12-23,13773036
2010-12-27,6373632
2010-12-28,8459616
2010-12-29,6960520
2010-12-30,5910240
2010-12-31,5796312
2011-01-03,8566436
2011-01-04,13797676
2011-01-05,11599180
2011-01-06,8057252
2011-01-07,8174496
2011-01-10,8914640
