time_captured,MCD_Low
2010-10-13,75.41
2010-10-14,75.67
2010-10-15,76.93
2010-10-18,77.16
2010-10-19,76.68
2010-10-20,77.17
2010-10-21,78.27
2010-10-22,77.85
2010-10-25,78.63
2010-10-26,78.58
2010-10-27,77.0
2010-10-28,77.12
2010-10-29,77.4
2010-11-01,77.37
2010-11-02,78.27
2010-11-03,77.82
2010-11-04,78.84
2010-11-05,78.8
2010-11-08,78.7
2010-11-09,78.71
2010-11-10,78.66
2010-11-11,79.32
2010-11-12,78.14
2010-11-15,78.77
2010-11-16,77.12
2010-11-17,77.43
2010-11-18,78.63
2010-11-19,78.76
2010-11-22,79.06
2010-11-23,78.44
2010-11-24,79.25
2010-11-26,78.54
2010-11-29,77.15
2010-11-30,77.5
2010-12-01,79.1
2010-12-02,79.22
2010-12-03,79.05
2010-12-06,79.4
2010-12-07,79.9
2010-12-08,78.12
2010-12-09,77.45
2010-12-10,77.32
2010-12-13,77.08
2010-12-14,76.91
2010-12-15,76.91
2010-12-16,76.53
2010-12-17,76.62
2010-12-20,76.82
2010-12-21,76.51
2010-12-22,76.91
2010-12-23,76.76
2010-12-27,76.23
2010-12-28,75.94
2010-12-29,76.63
2010-12-30,76.52
2010-12-31,76.34
2011-01-03,76.6
2011-01-04,74.11
2011-01-05,74.31
2011-01-06,74.08
2011-01-07,73.59
2011-01-10,73.52
2011-01-11,73.57
