time_captured,JPM_Volume
2010-10-19,70595070
2010-10-20,43497155
2010-10-21,38288399
2010-10-22,24882106
2010-10-25,37900828
2010-10-26,39195432
2010-10-27,30777415
2010-10-28,30614513
2010-10-29,19803213
2010-11-01,36941900
2010-11-02,39913036
2010-11-03,35299548
2010-11-04,77569302
2010-11-05,75684781
2010-11-08,32973223
2010-11-09,32800041
2010-11-10,35587826
2010-11-11,25506905
2010-11-12,33504792
2010-11-15,28772432
2010-11-16,46066475
2010-11-17,32027458
2010-11-18,30990277
2010-11-19,26541910
2010-11-22,33249487
2010-11-23,35340392
2010-11-24,24273037
2010-11-26,12819133
2010-11-29,30919207
2010-11-30,33716630
2010-12-01,33157135
2010-12-02,41525957
2010-12-03,30070142
2010-12-06,25364434
2010-12-07,40908155
2010-12-08,38115835
2010-12-09,43008294
2010-12-10,28451226
2010-12-13,35730371
2010-12-14,34010702
2010-12-15,30263996
2010-12-16,37123163
2010-12-17,52004796
2010-12-20,22978112
2010-12-21,30757752
2010-12-22,47286243
2010-12-23,18932006
2010-12-27,17208995
2010-12-28,20386551
2010-12-29,13637332
2010-12-30,12903320
2010-12-31,12202493
2011-01-03,43284100
2011-01-04,40036724
2011-01-05,50032460
2011-01-06,31615264
2011-01-07,69579337
2011-01-10,30098079
