time_captured,PFE_Close
2010-06-18,15.21
2010-06-21,15.1
2010-06-22,14.97
2010-06-23,14.88
2010-06-24,14.46
2010-06-25,14.64
2010-06-28,14.54
2010-06-29,14.28
2010-06-30,14.26
2010-07-01,14.23
2010-07-02,14.14
2010-07-06,14.29
2010-07-07,14.62
2010-07-08,14.82
2010-07-09,14.77
2010-07-12,14.93
2010-07-13,14.79
2010-07-14,14.84
2010-07-15,14.87
2010-07-16,14.56
2010-07-19,14.73
2010-07-20,14.55
2010-07-21,14.5
2010-07-22,14.81
2010-07-23,14.58
2010-07-26,15.02
2010-07-27,15.27
2010-07-28,15.0
2010-07-29,15.09
2010-07-30,15.0
2010-08-02,15.48
2010-08-03,16.34
2010-08-04,16.44
2010-08-05,16.19
2010-08-06,16.24
2010-08-09,16.42
2010-08-10,16.57
2010-08-11,16.0
2010-08-12,16.2
2010-08-13,16.08
2010-08-16,16.03
2010-08-17,16.27
2010-08-18,16.1
2010-08-19,16.03
2010-08-20,15.92
2010-08-23,16.1
2010-08-24,15.82
2010-08-25,15.99
2010-08-26,15.9
2010-08-27,16.09
2010-08-30,15.86
2010-08-31,15.94
2010-09-01,16.28
2010-09-02,16.4
2010-09-03,16.46
2010-09-07,16.33
2010-09-08,16.56
2010-09-09,16.77
2010-09-10,16.99
2010-09-13,16.97
2010-09-14,17.08
2010-09-15,17.27
2010-09-16,17.16
2010-09-17,17.06
2010-09-20,17.28
2010-09-21,17.14
2010-09-22,17.22
2010-09-23,17.04
2010-09-24,17.4
2010-09-27,17.17
2010-09-28,17.42
2010-09-29,17.4
2010-09-30,17.17
2010-10-01,17.18
2010-10-04,16.9
2010-10-05,17.23
2010-10-06,17.26
2010-10-07,17.38
2010-10-08,17.46
2010-10-11,17.38
2010-10-12,17.48
2010-10-13,17.73
2010-10-14,17.66
2010-10-15,17.75
2010-10-18,17.8
2010-10-19,17.39
2010-10-20,17.66
2010-10-21,17.63
2010-10-22,17.5
2010-10-25,17.62
2010-10-26,17.49
2010-10-27,17.28
2010-10-28,17.57
2010-10-29,17.42
2010-11-01,17.62
2010-11-02,17.45
2010-11-03,17.59
2010-11-04,17.38
2010-11-05,17.18
2010-11-08,17.05
2010-11-09,16.99
2010-11-10,16.83
2010-11-11,16.98
2010-11-12,16.85
2010-11-15,16.75
2010-11-16,16.6
2010-11-17,16.48
2010-11-18,16.83
2010-11-19,16.8
2010-11-22,16.63
2010-11-23,16.57
2010-11-24,16.69
2010-11-26,16.49
2010-11-29,16.56
2010-11-30,16.3
2010-12-01,16.7
2010-12-02,16.69
2010-12-03,16.72
2010-12-06,16.81
2010-12-07,16.77
2010-12-08,16.72
2010-12-09,16.76
2010-12-10,17.02
2010-12-13,17.19
2010-12-14,17.11
2010-12-15,17.08
2010-12-16,17.22
2010-12-17,17.03
2010-12-20,17.17
2010-12-21,17.38
2010-12-22,17.56
2010-12-23,17.61
2010-12-27,17.49
2010-12-28,17.59
2010-12-29,17.6
2010-12-30,17.49
2010-12-31,17.51
2011-01-03,17.68
2011-01-04,17.99
2011-01-05,18.11
2011-01-06,18.18
2011-01-07,18.34
2011-01-10,18.26
2011-01-11,18.22
